run_id,config,incident_id,complexity,latency_s,success,workload,justified,alpha,noise_sigma,is_attacked,attack_detected,pof,fatigue_mult,total_cost,window_var_feature
0,rules,0,low,56971.55,1,34.53,0,0.00248,0.01,0,0,0.0,2.184,12100,0.00015515
0,rules,1,high,5850.21,0,29.86,0,0.011368,0.03,0,0,0.0,1.812,1500100,4.34e-06
0,rules,2,low,88686.9,0,34.16,0,0.002279,0.01,1,0,0.0,2.152,1500100,9.998e-05
0,rules,3,low,40733.89,1,25.52,0,0.003695,0.01,0,0,0.0,1.523,12100,1.127e-05
0,rules,4,high,9868.96,0,37.68,0,0.012875,0.03,0,0,0.0,2.477,1500100,1.26e-06
0,rules,5,high,6254.59,0,34.36,0,0.011771,0.03,0,0,0.0,2.17,1500100,7.88e-06
0,rules,6,high,4398.7,0,21.39,0,0.008615,0.03,0,0,0.0,1.291,1500100,2.327e-05
0,rules,7,high,4057.12,0,29.61,0,0.010847,0.03,0,0,0.0,1.794,1500100,1.711e-05
0,rules,8,high,18465.55,0,28.46,0,0.011141,0.03,0,0,0.0,1.713,1500100,1.202e-05
0,rules,9,high,3704.5,0,36.34,0,0.01457,0.03,0,0,0.0,2.348,1500100,3.75e-06
0,rules,10,high,2657.14,0,35.22,0,0.015475,0.03,0,0,0.0,2.245,1500100,0.0
0,rules,11,high,10556.96,0,32.91,0,0.013349,0.03,0,0,0.0,2.047,1500100,6.64e-06
0,rules,12,medium,11254.82,0,34.8,0,0.006626,0.02,0,0,0.0,2.208,1500100,8.77e-06
0,rules,13,low,57667.72,1,35.87,0,0.002663,0.01,0,0,0.0,2.305,12100,2.22e-06
0,rules,14,high,8441.06,0,38.28,0,0.011283,0.03,0,0,0.0,2.538,1500100,3.053e-05
0,rules,15,high,1866.89,0,26.69,0,0.011921,0.03,0,0,0.0,1.596,1500100,1.829e-05
0,rules,16,high,7323.64,0,36.26,0,0.013185,0.03,0,0,0.0,2.341,1500100,1.67e-05
0,rules,17,medium,18444.61,1,20.81,0,0.003501,0.02,0,0,0.0,1.262,12100,1.703e-05
0,rules,18,high,203162.13,0,30.13,0,0.012605,0.03,1,0,0.0,1.832,1500100,9.098e-05
0,rules,19,high,1202.85,0,31.14,0,0.010167,0.03,0,0,0.0,1.907,1500100,5.7e-06
