run_id,config,incident_id,complexity,latency_s,success,workload,justified,alpha,noise_sigma
0,rules,0,low,56915.6,1,31.96,0,0.00248,0.01
0,rules,1,high,5799.16,1,29.86,0,0.009247,0.03
0,rules,2,low,38187.8,1,35.87,0,0.003788,0.01
0,rules,3,low,47177.12,1,31.62,0,0.004209,0.01
0,rules,4,high,5081.23,0,31.41,0,0.010239,0.03
0,rules,5,high,5079.68,0,28.23,0,0.013227,0.03
0,rules,6,low,79249.82,1,28.05,0,0.001829,0.01
0,rules,7,low,30999.12,1,29.76,0,0.003668,0.01
0,rules,8,high,8679.12,1,38.32,0,0.01301,0.03
0,rules,9,low,47565.64,1,41.11,0,0.003216,0.01
0,rules,10,medium,8299.12,0,35.15,0,0.006188,0.02
0,rules,11,high,4015.28,0,23.71,0,0.010912,0.03
0,rules,12,low,46112.15,1,28.83,0,0.003486,0.01
0,rules,13,high,5080.14,1,31.89,0,0.010013,0.03
0,rules,14,high,4006.43,0,38.4,0,0.01209,0.03
0,rules,15,low,47919.52,1,36.07,0,0.002855,0.01
0,rules,16,high,7229.69,0,31.57,0,0.015561,0.03
0,rules,17,high,6877.15,1,28.45,0,0.011554,0.03
0,rules,18,medium,19121.99,0,26.72,0,0.005447,0.02
0,rules,19,low,33521.37,1,32.75,0,0.004007,0.01
0,rules,20,medium,13363.81,1,30.34,0,0.006346,0.02
0,rules,21,high,5445.51,0,27.75,0,0.013992,0.03
0,rules,22,high,7251.94,0,38.77,0,0.01021,0.03
0,rules,23,medium,14090.5,0,33.21,0,0.005792,0.02
0,rules,24,high,15160.12,0,32.95,0,0.012781,0.03
0,rules,25,low,56934.01,0,28.6,0,0.003441,0.01
0,rules,26,low,64865.23,1,36.39,0,0.002625,0.01
0,rules,27,medium,29218.76,1,33.78,0,0.005195,0.02
0,rules,28,high,5794.19,0,31.58,0,0.012189,0.03
0,rules,29,medium,30994.84,0,42.49,0,0.006125,0.02
0,rules,30,low,57652.61,1,32.02,0,0.002654,0.01
0,rules,31,medium,12643.32,1,35.28,0,0.006046,0.02
0,rules,32,low,55123.49,1,31.7,0,0.002992,0.01
0,rules,33,medium,13378.13,0,31.82,0,0.005113,0.02
0,rules,34,low,70963.47,1,29.8,0,0.002199,0.01
0,rules,35,low,53682.12,1,34.31,0,0.002389,0.01
0,rules,36,high,5438.73,0,30.97,0,0.013415,0.03
0,rules,37,low,55483.79,0,45.69,0,0.002405,0.01
0,rules,38,high,9393.84,0,35.41,0,0.015308,0.03
0,rules,39,medium,22366.69,1,31.2,0,0.005899,0.02
0,rules,40,medium,17319.31,0,35.37,0,0.005721,0.02
0,rules,41,high,11544.46,0,30.88,0,0.011915,0.03
0,rules,42,medium,12279.3,0,30.92,0,0.005016,0.02
0,rules,43,high,8682.8,0,32.48,0,0.012119,0.03
0,rules,44,low,59444.34,1,39.19,0,0.002609,0.01
0,rules,45,low,46843.98,1,31.85,0,0.003228,0.01
0,rules,46,low,60156.69,1,37.66,0,0.002989,0.01
0,rules,47,high,5438.66,1,37.67,0,0.011601,0.03
0,rules,48,high,11922.09,0,31.18,0,0.012319,0.03
0,rules,49,medium,12293.55,0,33.38,0,0.006199,0.02
0,rules,50,low,28484.39,1,40.39,0,0.002495,0.01
0,rules,51,low,62675.29,1,34.65,0,0.003087,0.01
0,rules,52,low,60884.34,0,30.91,0,0.002394,0.01
0,rules,53,high,3995.28,0,29.94,0,0.012279,0.03
0,rules,54,low,40360.94,1,31.36,0,0.003058,0.01
0,rules,55,medium,6889.86,0,36.65,0,0.006334,0.02
0,rules,56,low,38194.0,1,20.97,0,0.003054,0.01
0,rules,57,medium,10479.85,1,32.1,0,0.006008,0.02
0,rules,58,medium,18412.21,0,33.4,0,0.006994,0.02
0,rules,59,medium,15525.33,0,30.66,0,0.006487,0.02
0,rules,60,medium,14806.66,0,29.63,0,0.004962,0.02
0,rules,61,medium,25952.92,0,33.45,0,0.005689,0.02
0,rules,62,low,74574.8,1,32.52,0,0.002449,0.01
0,rules,63,medium,15520.82,0,26.83,0,0.003711,0.02
0,rules,64,high,9383.35,0,28.26,0,0.013948,0.03
0,rules,65,high,10138.06,0,36.2,0,0.013792,0.03
0,rules,66,medium,18758.96,0,32.97,0,0.007239,0.02
